feature,importance
f2_striking_volume_control,68.0
f1_striking_volume_control,66.0
f2_striking_differential,65.0
age_difference,62.0
f1_knockdowns_lifetime,57.0
f2_knockdowns_lifetime,57.0
f1_striking_differential,46.0
f2_ground_output_per_min_lifetime,43.0
f2_ground_strike_rate_lifetime,37.0
f1_ground_strike_rate_lifetime,35.0
f2_submission_avg_per_15min,34.0
f1_age_x_days_since_last_fight,33.0
takedown_defense_diff,30.0
takedown_ability_diff,29.0
f2_defensive_efficiency,29.0
f1_takedown_avg_per_15min,28.0
f1_ground_output_per_min_lifetime,28.0
f2_days_since_last_fight,27.0
takedown_matchup,27.0
f1_days_since_last_fight,26.0
striking_accuracy_diff,26.0
f2_sig_strikes_landed_per_min_last_3,25.0
f1_submission_avg_per_15min,24.0
avg_opponent_win_rate_diff,24.0
f2_takedown_avg_per_15min,24.0
f1_defensive_efficiency,23.0
f2_recent_sig_strike_diff_last_3,22.0
f2_age_x_days_since_last_fight,21.0
striking_output_diff,21.0
age_x_fights_in_last_year_diff,21.0
finish_rate_diff,20.0
time_decayed_win_rate_adj_opp_quality_diff,20.0
f1_opponent_quality_score,19.0
f1_time_decayed_ko_rate,19.0
f2_losses,19.0
f1_takedown_defense,19.0
f2_power_striker_score,18.0
f1_losses,18.0
f1_body_strike_rate_last_3,18.0
height_advantage,18.0
f1_head_strike_rate_lifetime,17.0
f1_head_strike_rate_last_3,17.0
recent_sig_strike_diff_last_3_diff,17.0
avg_beaten_opponent_win_rate_diff,17.0
wins_last_3_years_diff,17.0
f2_head_strike_rate_lifetime,17.0
age_x_days_since_last_fight_diff,16.0
f2_head_strike_rate_last_3,16.0
f1_striking_accuracy_lifetime,15.0
f2_takedown_accuracy,15.0
f2_recent_control_time_diff_last_3,15.0
f1_distance_accuracy_lifetime,15.0
first_round_ko_rate_diff,14.0
f2_distance_accuracy_last_3,14.0
recent_finish_losses_last_2_diff,14.0
striking_defense_diff,13.0
opponent_quality_score_diff,13.0
f2_leg_strike_rate_lifetime,13.0
f1_avg_opponent_total_fights,13.0
f1_time_decayed_win_rate_adj_opp_quality,13.0
striking_differential,13.0
f2_striking_accuracy_lifetime,12.0
f1_power_striker_score,12.0
f2_opponent_quality_score,12.0
power_striker_score_diff,12.0
f2_sig_strikes_landed_per_min,12.0
recent_control_time_sec_last_3_diff,11.0
f1_striking_defense,11.0
f1_ground_output_per_min_last_3,11.0
f1_age_x_years_since_last_fight,11.0
f2_clinch_accuracy_lifetime,11.0
f1_clinch_accuracy_lifetime,11.0
f2_days_between_last_2_fights,10.0
time_decayed_ko_rate_diff,10.0
f1_sig_strikes_landed_per_min_last_3,10.0
f2_body_strike_rate_lifetime,10.0
f2_avg_opponent_win_rate,10.0
f1_distance_accuracy_last_3,10.0
f1_ground_strike_rate_last_3,10.0
f1_clinch_accuracy_last_3,10.0
f1_body_strike_rate_lifetime,10.0
f2_age,9.0
f1_distance_strike_rate_last_3,9.0
f2_submission_rate,9.0
f2_avg_opponent_total_fights,9.0
f1_reach_inches,9.0
f2_body_strike_rate_last_3,9.0
f1_avg_opponent_win_rate,9.0
f1_avg_lost_to_opponent_win_rate,9.0
experience_difference,9.0
f1_recent_sig_strike_diff_last_3,9.0
f1_striking_accuracy_last_3,9.0
