fight_id,event_id,fighter_1_id,fighter_2_id,event_date,event_year
1,1,4064,1717,2025-11-22,2025
1,1,1717,4064,2025-11-22,2025
2,1,2344,2730,2025-11-22,2025
2,1,2730,2344,2025-11-22,2025
3,1,2904,2574,2025-11-22,2025
3,1,2574,2904,2025-11-22,2025
4,1,2946,1644,2025-11-22,2025
4,1,1644,2946,2025-11-22,2025
5,1,772,1355,2025-11-22,2025
5,1,1355,772,2025-11-22,2025
6,1,1722,4091,2025-11-22,2025
6,1,4091,1722,2025-11-22,2025
7,1,3314,1472,2025-11-22,2025
7,1,1472,3314,2025-11-22,2025
8,1,852,1810,2025-11-22,2025
8,1,1810,852,2025-11-22,2025
9,1,90,3088,2025-11-22,2025
9,1,3088,90,2025-11-22,2025
10,1,4356,652,2025-11-22,2025
10,1,652,4356,2025-11-22,2025
11,1,4034,91,2025-11-22,2025
11,1,91,4034,2025-11-22,2025
12,1,2805,2276,2025-11-22,2025
12,1,2276,2805,2025-11-22,2025
13,1,81,3360,2025-11-22,2025
13,1,3360,81,2025-11-22,2025
14,1,1270,513,2025-11-22,2025
14,1,513,1270,2025-11-22,2025
15,2,2385,924,2025-11-15,2025
15,2,924,2385,2025-11-15,2025
16,2,3650,4428,2025-11-15,2025
16,2,4428,3650,2025-11-15,2025
17,2,2695,442,2025-11-15,2025
17,2,442,2695,2025-11-15,2025
18,2,3176,1072,2025-11-15,2025
18,2,1072,3176,2025-11-15,2025
19,2,3463,873,2025-11-15,2025
19,2,873,3463,2025-11-15,2025
20,2,2836,4178,2025-11-15,2025
20,2,4178,2836,2025-11-15,2025
21,2,3364,2075,2025-11-15,2025
21,2,2075,3364,2025-11-15,2025
22,2,380,773,2025-11-15,2025
22,2,773,380,2025-11-15,2025
23,2,1152,4268,2025-11-15,2025
23,2,4268,1152,2025-11-15,2025
24,2,875,2554,2025-11-15,2025
24,2,2554,875,2025-11-15,2025
25,2,3451,2418,2025-11-15,2025
25,2,2418,3451,2025-11-15,2025
26,2,2051,1673,2025-11-15,2025
26,2,1673,2051,2025-11-15,2025
27,2,3905,2503,2025-11-15,2025
27,2,2503,3905,2025-11-15,2025
28,2,565,418,2025-11-15,2025
28,2,418,565,2025-11-15,2025
29,3,406,485,2025-11-08,2025
29,3,485,406,2025-11-08,2025
30,3,2692,3588,2025-11-08,2025
30,3,3588,2692,2025-11-08,2025
31,3,2549,3479,2025-11-08,2025
31,3,3479,2549,2025-11-08,2025
32,3,2981,407,2025-11-08,2025
32,3,407,2981,2025-11-08,2025
33,3,1042,4075,2025-11-08,2025
33,3,4075,1042,2025-11-08,2025
34,3,1103,127,2025-11-08,2025
34,3,127,1103,2025-11-08,2025
35,3,266,3717,2025-11-08,2025
35,3,3717,266,2025-11-08,2025
36,3,644,511,2025-11-08,2025
36,3,511,644,2025-11-08,2025
37,3,1690,1386,2025-11-08,2025
37,3,1386,1690,2025-11-08,2025
38,3,1407,3071,2025-11-08,2025
38,3,3071,1407,2025-11-08,2025
39,3,2414,1867,2025-11-08,2025
39,3,1867,2414,2025-11-08,2025
40,3,3267,2542,2025-11-08,2025
40,3,2542,3267,2025-11-08,2025
41,4,1339,2943,2025-11-01,2025
41,4,2943,1339,2025-11-01,2025
42,4,772,923,2025-11-01,2025
42,4,923,772,2025-11-01,2025
43,4,4269,1445,2025-11-01,2025
43,4,1445,4269,2025-11-01,2025
44,4,917,1037,2025-11-01,2025
44,4,1037,917,2025-11-01,2025
45,4,3218,1284,2025-11-01,2025
45,4,1284,3218,2025-11-01,2025
46,4,2797,1048,2025-11-01,2025
46,4,1048,2797,2025-11-01,2025
47,4,1083,692,2025-11-01,2025
47,4,692,1083,2025-11-01,2025
48,4,821,2201,2025-11-01,2025
48,4,2201,821,2025-11-01,2025
49,4,1887,1039,2025-11-01,2025
49,4,1039,1887,2025-11-01,2025
50,4,1040,4177,2025-11-01,2025
50,4,4177,1040,2025-11-01,2025
51,4,174,3441,2025-11-01,2025
51,4,3441,174,2025-11-01,2025
52,4,2059,3424,2025-11-01,2025
52,4,3424,2059,2025-11-01,2025
53,4,67,610,2025-11-01,2025
53,4,610,67,2025-11-01,2025
55,5,935,1828,2025-10-25,2025
55,5,1828,935,2025-10-25,2025
56,5,2886,301,2025-10-25,2025
56,5,301,2886,2025-10-25,2025
57,5,4200,98,2025-10-25,2025
57,5,98,4200,2025-10-25,2025
58,5,2761,3227,2025-10-25,2025
58,5,3227,2761,2025-10-25,2025
59,5,3482,1569,2025-10-25,2025
59,5,1569,3482,2025-10-25,2025
60,5,82,3011,2025-10-25,2025
60,5,3011,82,2025-10-25,2025
61,5,2047,3257,2025-10-25,2025
61,5,3257,2047,2025-10-25,2025
62,5,4217,3906,2025-10-25,2025
62,5,3906,4217,2025-10-25,2025
63,5,4331,922,2025-10-25,2025
63,5,922,4331,2025-10-25,2025
64,5,6,274,2025-10-25,2025
64,5,274,6,2025-10-25,2025
65,5,3245,2388,2025-10-25,2025
65,5,2388,3245,2025-10-25,2025
66,5,2652,130,2025-10-25,2025
66,5,130,2652,2025-10-25,2025
67,6,87,909,2025-10-18,2025
67,6,909,87,2025-10-18,2025
